season_year,team_id,team_abbreviation,team_name,gp,w,l,min,passes_made,passes_received,ast,ft_ast,secondary_ast,potential_ast,ast_points_created,ast_adj,ast_to_pass_pct,ast_to_pass_pct_adj
2017-18,1610612750,MIN,Minnesota Timberwolves,82,47,35,241.5,286.7,286.6,22.7,1.4,2.5,41.2,55,26.5,0.079,0.092
2017-18,1610612740,NOP,New Orleans Pelicans,82,48,34,243.4,305.9,305.8,26.8,1.1,3,47.1,64,30.4,0.088,0.099
2017-18,1610612752,NYK,New York Knicks,81,28,53,241.9,320.1,320,23.3,0.8,3,45.2,55.4,27,0.073,0.084
2017-18,1610612760,OKC,Oklahoma City Thunder,80,48,32,241.9,254,253.9,21.4,1.3,2.4,43.1,54,25.1,0.084,0.099
2017-18,1610612753,ORL,Orlando Magic,82,25,57,240.6,292.3,292.3,23.4,1.1,2.4,46.3,57.1,26.7,0.08,0.091
2017-18,1610612755,PHI,Philadelphia 76ers,81,52,29,241.2,343.9,343.8,27.2,1.3,3.6,52.4,67,31.8,0.079,0.093
2017-18,1610612756,PHX,Phoenix Suns,82,21,61,240.3,292.3,292.2,21.3,1.5,2.3,44.4,52.8,25,0.073,0.086
2017-18,1610612757,POR,Portland Trail Blazers,82,49,33,240.9,271,271,19.5,1,2.2,40.1,48.1,22.5,0.072,0.083
2017-18,1610612758,SAC,Sacramento Kings,82,27,55,240.9,315.8,315.8,21.6,0.8,2.7,42.3,51.7,24.9,0.068,0.079
2017-18,1610612759,SAS,San Antonio Spurs,82,47,35,240.6,314,313.9,22.8,0.9,4,42.7,55.2,27.7,0.073,0.088
2017-18,1610612761,TOR,Toronto Raptors,82,59,23,241.8,300,300,24.3,0.8,3.3,46.3,59.6,28.2,0.081,0.094
2017-18,1610612762,UTA,Utah Jazz,82,48,34,240.9,318.8,318.8,22.4,1.3,2.9,43.2,55.9,26.5,0.07,0.083
2017-18,1610612764,WAS,Washington Wizards,82,43,39,242.1,293,293,25.2,1,3.2,47.4,60.7,29.1,0.086,0.099
2016-17,1610612737,ATL,Atlanta Hawks,82,43,39,242.4,310,310,23.6,2.5,3.2,46.8,58.2,28.9,0.076,0.093
2016-17,1610612738,BOS,Boston Celtics,82,53,29,240.9,324.6,324.6,25.2,2,3.6,49.2,63.9,30.7,0.078,0.095
2016-17,1610612751,BKN,Brooklyn Nets,81,20,61,240.9,311,311,21.4,2.2,2.5,45.4,55.5,25.9,0.069,0.083
2016-17,1610612766,CHA,Charlotte Hornets,82,36,46,241.8,291.2,291.2,23.1,2.9,3.4,47.8,59.4,29.1,0.079,0.1
2016-17,1610612741,CHI,Chicago Bulls,82,41,41,241.2,304.5,304.5,22.6,2.2,2.5,45.2,55.6,27.1,0.074,0.089
2016-17,1610612739,CLE,Cleveland Cavaliers,82,51,31,242.4,275.3,275.3,22.7,2.5,3.4,45.1,59.9,28.3,0.082,0.103
2016-17,1610612742,DAL,Dallas Mavericks,81,32,49,241.2,296.8,296.8,20.7,1.8,2.5,44.4,53.2,24.9,0.07,0.084
2016-17,1610612743,DEN,Denver Nuggets,81,39,42,240.9,296.3,296.3,25.2,2.3,2.9,47.5,63.4,30.2,0.085,0.102
2016-17,1610612765,DET,Detroit Pistons,82,37,45,241.5,278.5,278.5,21.1,2.3,2.1,43,52.3,25.4,0.076,0.091
2016-17,1610612744,GSW,Golden State Warriors,82,67,15,241.2,317.7,317.7,30.4,2.8,4.6,56.3,74.8,37.5,0.096,0.118
2016-17,1610612745,HOU,Houston Rockets,82,55,27,241.2,267.4,267.4,25.2,2.3,2.5,50.7,65,29.8,0.094,0.112
2016-17,1610612754,IND,Indiana Pacers,81,42,39,242.2,286.4,286.4,22.4,2.1,2.9,47.4,55.9,27.3,0.078,0.095
2016-17,1610612746,LAC,LA Clippers,82,51,31,240.9,301.7,301.7,22.5,2.3,2.9,43.2,56.8,27.8,0.075,0.092
2016-17,1610612747,LAL,Los Angeles Lakers,82,26,56,240.3,288.4,288.4,20.9,2.1,2.2,42.7,52.2,25.1,0.073,0.087
2016-17,1610612763,MEM,Memphis Grizzlies,82,43,39,242.7,303.3,303.2,21.3,2.1,3.1,46.4,53.9,26.5,0.07,0.087
2016-17,1610612748,MIA,Miami Heat,82,41,41,241.2,283.4,283.4,21.2,1.9,2.8,45.9,54.2,25.9,0.075,0.091
2016-17,1610612749,MIL,Milwaukee Bucks,82,42,40,241.2,289,288.9,24.2,2.6,3.1,47.5,61,29.7,0.084,0.103
